snapshot,sqlite_groups,flink_groups,group_mismatches,top10_emitted_at_snapshot,emitted_top10_changes_verified,top10_validation,status
10000,1314,1314,0,NOT_EMITTED,351,PASS,PASS
20000,2628,2628,0,NOT_EMITTED,351,PASS,PASS
30000,3942,3942,0,NOT_EMITTED,351,PASS,PASS
40000,5255,5255,0,NOT_EMITTED,351,PASS,PASS
50000,6569,6569,0,NOT_EMITTED,351,PASS,PASS
60000,7882,7882,0,NOT_EMITTED,351,PASS,PASS
70000,9196,9196,0,NOT_EMITTED,351,PASS,PASS
80000,10509,10509,0,NOT_EMITTED,351,PASS,PASS
90000,11823,11823,0,NOT_EMITTED,351,PASS,PASS
100000,13137,13137,0,NOT_EMITTED,351,PASS,PASS
110000,14451,14451,0,NOT_EMITTED,351,PASS,PASS
120000,15764,15764,0,NOT_EMITTED,351,PASS,PASS
130000,17078,17078,0,NOT_EMITTED,351,PASS,PASS
140000,18391,18391,0,NOT_EMITTED,351,PASS,PASS
150000,19705,19705,0,NOT_EMITTED,351,PASS,PASS
156600,20572,20572,0,NOT_EMITTED,351,PASS,PASS
