snapshot,sqlite_groups,flink_groups,group_mismatches,top10_emitted_at_snapshot,emitted_top10_changes_verified,top10_validation,status
1,0,0,0,NOT_EMITTED,6,PASS,PASS
2,0,0,0,NOT_EMITTED,6,PASS,PASS
3,0,0,0,NOT_EMITTED,6,PASS,PASS
4,0,0,0,NOT_EMITTED,6,PASS,PASS
5,0,0,0,NOT_EMITTED,6,PASS,PASS
6,1,1,0,PASS,6,PASS,PASS
7,1,1,0,PASS,6,PASS,PASS
8,1,1,0,NOT_EMITTED,6,PASS,PASS
9,1,1,0,NOT_EMITTED,6,PASS,PASS
10,1,1,0,PASS,6,PASS,PASS
11,1,1,0,PASS,6,PASS,PASS
12,0,0,0,PASS,6,PASS,PASS
13,1,1,0,PASS,6,PASS,PASS
