snapshot,sqlite_groups,flink_groups,group_mismatches,top10_emitted_at_snapshot,emitted_top10_changes_verified,top10_validation,status
100000,159,159,0,NOT_EMITTED,141,PASS,PASS
200000,307,307,0,NOT_EMITTED,141,PASS,PASS
300000,470,470,0,NOT_EMITTED,141,PASS,PASS
400000,614,614,0,NOT_EMITTED,141,PASS,PASS
500000,590,590,0,NOT_EMITTED,141,PASS,PASS
600000,595,595,0,NOT_EMITTED,141,PASS,PASS
700000,594,594,0,NOT_EMITTED,141,PASS,PASS
800000,592,592,0,NOT_EMITTED,141,PASS,PASS
900000,591,591,0,NOT_EMITTED,141,PASS,PASS
1000000,581,581,0,NOT_EMITTED,141,PASS,PASS
1100000,601,601,0,NOT_EMITTED,141,PASS,PASS
1140816,596,596,0,NOT_EMITTED,141,PASS,PASS
