snapshot,l_orderkey,revenue,o_orderdate,o_shippriority
10000,100899,2964.08,1995-03-01,2
10000,101789,2904.88,1995-03-01,1
10000,100898,2888.24,1995-03-01,1
10000,101798,2888.24,1995-03-01,1
10000,100891,2857.80,1995-03-01,0
10000,101791,2857.80,1995-03-01,0
10000,100879,2845.68,1995-03-01,0
10000,101779,2845.68,1995-03-01,0
10000,100892,2834.08,1995-03-01,1
10000,100888,2829.44,1995-03-01,0
20000,100899,2964.08,1995-03-01,2
20000,102699,2964.08,1995-03-01,2
20000,103599,2964.08,1995-03-01,2
20000,101789,2904.88,1995-03-01,1
20000,102689,2904.88,1995-03-01,1
20000,103589,2904.88,1995-03-01,1
20000,100898,2888.24,1995-03-01,1
20000,101798,2888.24,1995-03-01,1
20000,102698,2888.24,1995-03-01,1
20000,100891,2857.80,1995-03-01,0
30000,100899,2964.08,1995-03-01,2
30000,102699,2964.08,1995-03-01,2
30000,103599,2964.08,1995-03-01,2
30000,104499,2964.08,1995-03-01,2
30000,105399,2964.08,1995-03-01,2
30000,101789,2904.88,1995-03-01,1
30000,102689,2904.88,1995-03-01,1
30000,103589,2904.88,1995-03-01,1
30000,104489,2904.88,1995-03-01,1
30000,105389,2904.88,1995-03-01,1
40000,100899,2964.08,1995-03-01,2
40000,102699,2964.08,1995-03-01,2
40000,103599,2964.08,1995-03-01,2
40000,104499,2964.08,1995-03-01,2
40000,105399,2964.08,1995-03-01,2
40000,106299,2964.08,1995-03-01,2
40000,107199,2964.08,1995-03-01,2
40000,101789,2904.88,1995-03-01,1
40000,102689,2904.88,1995-03-01,1
40000,103589,2904.88,1995-03-01,1
50000,100899,2964.08,1995-03-01,2
50000,102699,2964.08,1995-03-01,2
50000,103599,2964.08,1995-03-01,2
50000,104499,2964.08,1995-03-01,2
50000,105399,2964.08,1995-03-01,2
50000,106299,2964.08,1995-03-01,2
50000,107199,2964.08,1995-03-01,2
50000,108999,2964.08,1995-03-01,2
50000,101789,2904.88,1995-03-01,1
50000,102689,2904.88,1995-03-01,1
60000,100899,2964.08,1995-03-01,2
60000,102699,2964.08,1995-03-01,2
60000,103599,2964.08,1995-03-01,2
60000,104499,2964.08,1995-03-01,2
60000,105399,2964.08,1995-03-01,2
60000,106299,2964.08,1995-03-01,2
60000,107199,2964.08,1995-03-01,2
60000,108999,2964.08,1995-03-01,2
60000,109899,2964.08,1995-03-01,2
60000,110799,2964.08,1995-03-01,2
70000,100899,2964.08,1995-03-01,2
70000,102699,2964.08,1995-03-01,2
70000,103599,2964.08,1995-03-01,2
70000,104499,2964.08,1995-03-01,2
70000,105399,2964.08,1995-03-01,2
70000,106299,2964.08,1995-03-01,2
70000,107199,2964.08,1995-03-01,2
70000,108999,2964.08,1995-03-01,2
70000,109899,2964.08,1995-03-01,2
70000,110799,2964.08,1995-03-01,2
80000,100899,2964.08,1995-03-01,2
80000,102699,2964.08,1995-03-01,2
80000,103599,2964.08,1995-03-01,2
80000,104499,2964.08,1995-03-01,2
80000,105399,2964.08,1995-03-01,2
80000,106299,2964.08,1995-03-01,2
80000,107199,2964.08,1995-03-01,2
80000,108999,2964.08,1995-03-01,2
80000,109899,2964.08,1995-03-01,2
80000,110799,2964.08,1995-03-01,2
90000,100899,2964.08,1995-03-01,2
90000,102699,2964.08,1995-03-01,2
90000,103599,2964.08,1995-03-01,2
90000,104499,2964.08,1995-03-01,2
90000,105399,2964.08,1995-03-01,2
90000,106299,2964.08,1995-03-01,2
90000,107199,2964.08,1995-03-01,2
90000,108999,2964.08,1995-03-01,2
90000,109899,2964.08,1995-03-01,2
90000,110799,2964.08,1995-03-01,2
100000,100899,2964.08,1995-03-01,2
100000,102699,2964.08,1995-03-01,2
100000,103599,2964.08,1995-03-01,2
100000,104499,2964.08,1995-03-01,2
100000,105399,2964.08,1995-03-01,2
100000,106299,2964.08,1995-03-01,2
100000,107199,2964.08,1995-03-01,2
100000,108999,2964.08,1995-03-01,2
100000,109899,2964.08,1995-03-01,2
100000,110799,2964.08,1995-03-01,2
110000,100899,2964.08,1995-03-01,2
110000,102699,2964.08,1995-03-01,2
110000,103599,2964.08,1995-03-01,2
110000,104499,2964.08,1995-03-01,2
110000,105399,2964.08,1995-03-01,2
110000,106299,2964.08,1995-03-01,2
110000,107199,2964.08,1995-03-01,2
110000,108999,2964.08,1995-03-01,2
110000,109899,2964.08,1995-03-01,2
110000,110799,2964.08,1995-03-01,2
120000,100899,2964.08,1995-03-01,2
120000,102699,2964.08,1995-03-01,2
120000,103599,2964.08,1995-03-01,2
120000,104499,2964.08,1995-03-01,2
120000,105399,2964.08,1995-03-01,2
120000,106299,2964.08,1995-03-01,2
120000,107199,2964.08,1995-03-01,2
120000,108999,2964.08,1995-03-01,2
120000,109899,2964.08,1995-03-01,2
120000,110799,2964.08,1995-03-01,2
130000,100899,2964.08,1995-03-01,2
130000,102699,2964.08,1995-03-01,2
130000,103599,2964.08,1995-03-01,2
130000,104499,2964.08,1995-03-01,2
130000,105399,2964.08,1995-03-01,2
130000,106299,2964.08,1995-03-01,2
130000,107199,2964.08,1995-03-01,2
130000,108999,2964.08,1995-03-01,2
130000,109899,2964.08,1995-03-01,2
130000,110799,2964.08,1995-03-01,2
140000,100899,2964.08,1995-03-01,2
140000,102699,2964.08,1995-03-01,2
140000,103599,2964.08,1995-03-01,2
140000,104499,2964.08,1995-03-01,2
140000,105399,2964.08,1995-03-01,2
140000,106299,2964.08,1995-03-01,2
140000,107199,2964.08,1995-03-01,2
140000,108999,2964.08,1995-03-01,2
140000,109899,2964.08,1995-03-01,2
140000,110799,2964.08,1995-03-01,2
150000,100899,2964.08,1995-03-01,2
150000,102699,2964.08,1995-03-01,2
150000,103599,2964.08,1995-03-01,2
150000,104499,2964.08,1995-03-01,2
150000,105399,2964.08,1995-03-01,2
150000,106299,2964.08,1995-03-01,2
150000,107199,2964.08,1995-03-01,2
150000,108999,2964.08,1995-03-01,2
150000,109899,2964.08,1995-03-01,2
150000,110799,2964.08,1995-03-01,2
