dataset,parallelism,repetition,updates,active_workers,configured_workers,processing_seconds,processing_throughput,wall_clock_seconds,wall_clock_throughput,mean_latency_us,p50_latency_us,p95_latency_us,p99_latency_us
tpch_sf01_fifo,1,1,1140816,1,1,1.83152,622879.29,12.28907449999997,92831.72626221794,7877.19,6780,15200,28210
tpch_sf01_fifo,1,2,1140816,1,1,1.556013,733166.11,11.993101000000024,95122.6876184898,6710.95,5370,13600,22100
tpch_sf01_fifo,1,3,1140816,1,1,1.878349,607350.33,12.485303099999783,91372.7116484677,8052.88,6870,15410,31000
tpch_sf01_fifo,2,1,1140816,2,2,1.308364,871940.77,11.812936300000274,96573.4488892464,6230.46,5370,15030,28540
tpch_sf01_fifo,2,2,1140816,2,2,1.092769,1043967.83,11.569296900000154,98607.20230976048,7812.22,7160,15450,32210
tpch_sf01_fifo,2,3,1140816,2,2,1.482614,769462.69,11.994039800000337,95115.24215552195,5587.76,3170,14060,33310
tpch_sf01_fifo,4,1,1140816,4,4,1.44954,787019.49,11.907834200000252,95803.81964001278,6319.55,4010,26430,49520
tpch_sf01_fifo,4,2,1140816,4,4,1.342673,849660.15,11.821353499999987,96504.68535603823,4717.68,2790,10720,41400
tpch_sf01_fifo,4,3,1140816,4,4,1.344082,848769.52,11.863399500000014,96162.65556934154,4790.71,2790,11810,43380
tpch_sf01_fifo,8,1,1140816,8,8,1.520127,750474.29,12.054174100000182,94640.7435744588,10461.01,6720,32830,70040
tpch_sf01_fifo,8,2,1140816,8,8,1.526057,747557.92,12.027656300000217,94849.40137506086,10616.4,6700,36970,73280
tpch_sf01_fifo,8,3,1140816,8,8,1.480636,770490.57,11.984579400000257,95190.32432627343,10623.59,6620,32300,77620
